"APPOINTED DATES & SESSIONS","DATE","TYPE","SITTINGS CONTENT","RESOLUTION/RESULT"
"第８屆第３會期第２次臨時會","102/08/06","院會","修正軍事審判法第一條、第三十四條及第二百三十七條條文","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","交通及建設部組織法草案等八案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","本院民進黨黨團擬具「刑事訴訟法第一條條文修正草案」，請審議案。","交黨團協商"
"第８屆第３會期第２次臨時會","102/08/06","院會","國家發展委員會檔案管理局組織法草案","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","內政部警政署組織法草案","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","增訂漁業法第三十九條之一、第四十一條之一、第四十一條之二及第六十四條之二條文；並修正第四十一條、第四十四條、第六十條、第六十四條及第六十五條條文","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","內政部建築研究所組織法草案","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","國家發展委員會組織法草案等二案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","科技部組織法草案等七案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","公教人員保險法修正草案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","軍事審判法部分條文修正草案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","國家發展委員會組織法草案","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","大陸委員會組織法草案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","內政部警政署組織法草案等五案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","修正國家安全法第八條條文","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","本院民進黨黨團擬具「國家安全法第八條條文修正草案」，請審議案暨本院委員林佳龍等29人擬具「國家安全法第八條條文修正草案」，請審議案。","交黨團協商"
"第８屆第３會期第２次臨時會","102/08/06","院會","本院委員李慶華等33人擬具公投提案主文為：「你是否同意核四廠停止興建不得運轉？」，請公決案。","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","勞動部組織法草案等六案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","內政部組織法修正草案等四案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","國家中山科學研究院設置條例草案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","農業部組織法草案等十六案","協商後處理"
"第８屆第３會期第２次臨時會","102/08/06","院會","內政部役政署組織法草案","完成三讀"
"第８屆第３會期第２次臨時會","102/08/06","院會","內政部空中勤務總隊組織法修正草案","完成三讀"
