"DATE","BILLS TITLE","TYPE","APPOINTED DATES & SESSIONS","SITTINGS","TOTAL CONTENT URL","PROMULGATE LAWS PDF URL","BILLS URL"
"102/08/06","增訂漁業法第三十九條之一、第四十一條之一、第四十一條之二及第六十四條之二條文；並修正第四十一條、第四十三條、第四十四條、第六十條、第六十四條及第六十五條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/03108/03108102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201301.pdf",""
"102/08/06","修正軍事審判法第一條、第三十四條及第二百三十七條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01438/01438102080600.htm","http://glin.ly.gov.tw/file/legal/tw1308201301.pdf",""
"102/08/06","修正國家安全法第八條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01441/01441102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201302.pdf",""
"102/08/06","制定國家發展委員會組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01083/01083102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201303.pdf",""
"102/08/06","制定國家發展委員會檔案管理局組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01084/01084102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201304.pdf",""
"102/08/06","制定內政部警政署組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05179/05179102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201305.pdf",""
"102/08/06","制定內政部役政署組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05181/05181102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201307.pdf",""
"102/08/06","修正內政部空中勤務總隊組織法全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05117/05117102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201308.pdf",""
"102/08/06","將「內政部入出國及移民署組織法」名稱修正為「內政部移民署組織法」，並修正全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01260/01260102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201309.pdf",""
"102/08/06","制定內政部建築研究所組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/05180/05180102080600.htm","http://glin.ly.gov.tw/file/legal/tw2108201306.pdf",""
"102/07/30","本院國民黨黨團，建請第3會期第2次臨時會邀請國防部部長針對「軍中人權保障及陸軍下士洪仲丘案」向外交及國防委員會報告，並備質詢。是否有當？請公決案。（備註：決議：「由本院外交及國防、司法及法制、內政三委員會舉行聯席會議，邀請國防部部長、法務部部長及內政部部長率同有關人員列席報告『軍中人權保障及陸軍下士洪仲丘案』，並備質詢。」）","其他","第８屆第３會期（2013-02-26~2013-05-31）","第1次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4218"
"102/06/27","制定高級中等教育法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第2次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01786/01786102062700.htm","http://glin.ly.gov.tw/file/legal/tw1007201305.pdf",""
"102/06/27","修正專科學校法第二十五條、第二十六條、第三十五條及第四十條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第2次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01714/01714102062700.htm","http://glin.ly.gov.tw/file/legal/tw1007201304.pdf",""
"102/06/27","修正公共債務法全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第2次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01616/01616102062700.htm","http://glin.ly.gov.tw/file/legal/tw1007201302.pdf",""
"102/06/27","修正教師法第十四條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第2次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01734/01734102062700.htm","http://glin.ly.gov.tw/file/legal/tw1007201303.pdf",""
"102/06/25","修正所得稅法第十四條之二、第八十八條及第八十九條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第2次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01513/01513102062500.htm","http://glin.ly.gov.tw/file/legal/tw1007201301.pdf",""
"102/06/18","制定濕地保育法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/03736/03736102061800.htm","http://glin.ly.gov.tw/file/legal/tw0307201301.pdf",""
"102/06/18","將「勞工安全衛生法」名稱修正為「職業安全衛生法」，並修正全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01142/01142102061800.htm","http://glin.ly.gov.tw/file/legal/tw0307201302.pdf",""
"102/06/18","增訂公路法第六十條之一條文；修正第一條、第二條、第四條至第六條、第十一條、第十二條、第二十四條、第二十六條、第二十八條、第三十六條至第三十八條、第四十七條、第五十一條、第五十七條之一、第六十一條、第六十二條、第六十二條之一及第六十七條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02016/02016102061800.htm","http://glin.ly.gov.tw/file/legal/tw0307201303.pdf",""
"102/06/18","制定國軍退除役官兵輔導委員會組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01074/01074102061800.htm","http://glin.ly.gov.tw/file/legal/tw0307201304.pdf",""
"102/06/18","制定榮民總醫院組織通則","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第1次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01081/01081102061800.htm","http://glin.ly.gov.tw/file/legal/tw0307201305.pdf",""
"102/06/13","審查行政院函，為本院三讀通過「會計法第99條之1修正條文」經研議確有窒礙難行，依憲法增修條文第3條第2項第2款之規定移請覆議案。（備註：原決議不予維持。）","其他","第８屆第３會期（2013-02-26~2013-05-31）","第1次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4139"
"102/05/31","將「行政院衛生署食品藥物管理局組織法」名稱修正為「衛生福利部食品藥物管理署組織法」，並修正全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02531/02531102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201309.pdf",""
"102/05/31","將「行政院衛生署中央健康保險局組織法」名稱修正為「衛生福利部中央健康保險署組織法」，並修正全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02554/02554102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201308.pdf",""
"102/05/31","制定衛生福利部國民健康署組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02593/02593102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201305.pdf",""
"102/05/31","制定衛生福利部國家中醫藥研究所組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02594/02594102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201307.pdf",""
"102/05/31","修正身心障礙者權益保障法第五十三條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01127/01127102053100.htm","http://glin.ly.gov.tw/file/legal/tw1106201303.pdf",""
"102/05/31","修正社會救助法第四十四條之三條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01128/01128102053100.htm","http://glin.ly.gov.tw/file/legal/tw1106201302.pdf",""
"102/05/31","增訂志願服務法第五條之一條文；修正第五條、第十八條及第二十條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01287/01287102053100.htm","http://glin.ly.gov.tw/file/legal/tw1106201306.pdf",""
"102/05/31","增訂學位授予法第七條之三條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01713/01713102053100.htm","http://glin.ly.gov.tw/file/legal/tw1106201305.pdf",""
"102/05/31","增訂航業法第二十七條之一、第三十二條之一及第五十條之一條文；修正第三條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02025/02025102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201312.pdf",""
"102/05/31","增訂軍人保險條例第十六條之三條文；刪除第八條條文；修正第三條至第七條、第十條、第十六條及第二十條條文（備註：2013/05/31第15次會議復議決定：另定期處理）","法律案","第８屆第３會期（2013-02-26~2013-05-31）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4122"
"102/05/31","修正專利法第三十二條、第四十一條、第九十七條、第一百十六條及第一百五十九條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01924/01924102053100.htm","http://glin.ly.gov.tw/file/legal/tw1106201307.pdf",""
"102/05/31","修正中華民國刑法第一百八十五條之三、第一百八十五條之四條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/04536/04536102053100.htm","http://glin.ly.gov.tw/file/legal/tw1106201304.pdf",""
"102/05/31","增訂國際金融業務條例第一章章名、第二章章名、第三章章名、第二十二條之三至第二十二條之十一及第四章章名；修正第一條、第二條及第四條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01541/01541102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201302.pdf",""
"102/05/31","修正會計法第九十九條之一條文（備註：2013/06/13本會期第1次臨時會第1次會議，行政院對本案提出覆議，經表決後決議：原決議不予維持。）","法律案","第８屆第３會期（2013-02-26~2013-05-31）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4133"
"102/05/31","增訂海關緝私條例第四十五條之二條文；刪除第四十九條條文；修正第二十七條、第四十一條、第四十五條之一、第四十六條至第四十八條及第四十九條之一至第五十一條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01530/01530102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201301.pdf",""
"102/05/31","制定衛生福利部疾病管制署組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02592/02592102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201310.pdf",""
"102/05/31","制定衛生福利部社會及家庭署組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02597/02597102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201306.pdf",""
"102/05/31","制定教育部青年發展署組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01795/01795102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201303.pdf",""
"102/05/31","修正食品衛生管理法全文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02513/02513102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201313.pdf",""
"102/05/31","修正傳染病防治法第四條、第九條、第二十七條、第三十二條、第三十九條、第四十六條、第五十條、第五十九條、第六十二條、第六十七條及第六十九條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02516/02516102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201311.pdf",""
"102/05/31","制定衛生福利部組織法","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02591/02591102053100.htm","http://glin.ly.gov.tw/file/legal/tw1906201304.pdf",""
"102/05/31","財團法人工業技術研究院102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4105"
"102/05/31","耀華玻璃股份有限公司管理委員會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4106"
"102/05/31","委員李昆澤等25人擬具「商港法第十一條條文修正草案」案（備註：維持現行條文，不予修正。）","其他","第８屆第３會期（2013-02-26~2013-05-31）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4110"
"102/05/31","行政院函請審議「駐菲律賓臺北經濟文化辦事處與馬尼拉經濟文化辦事處間刑事司法互助協定」案","其他","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4104"
"102/05/31","本院親民黨黨團，建請決議：「本院依憲法第六十三條賦予立法院有議決國家重要事項之憲政權力，要求行政院應即就層出不窮於食品或食品添加物中添加非經許可添加物之違法殘害國民健康行為，召集衛生署、環保署、經濟部、法務部等相關部會組成專案小組，於三個月內釐清權屬、協調分工，並全盤檢討行政作業之配套調整，從進口、製造、銷售到消費端之整條國家食品安全鏈防線。此一行政作業配套調整，須包含以下必要項目：一、建置工廠管理登記分流、進口貨號編碼分流等就源分流管理機制，以確保食品用與非食品用之化學物質，從原料至產品之有效分流管理；二、通盤檢討並強化食品及食品添加物製造廠暨供應商之查驗認證、定期講習及處罰檢舉等行政規範，以完備並落實食安標準及流程控管；三、複方食品添加物及食用香料需強制登錄並於產品上標示成分。」是否有當？請公決案。","其他","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第15次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4112"
"102/05/28","增訂水利法第九十三條之六條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01941/01941102052800.htm","http://glin.ly.gov.tw/file/legal/tw1106201301.pdf",""
"102/05/28","中央政府石門水庫及其集水區整治計畫第2期特別決算審核報告（中華民國98至100年度）案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3998"
"102/05/28","財團法人台灣金融研訓院102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3999"
"102/05/28","財團法人汽車交通事故特別補償基金102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4001"
"102/05/28","財團法人住宅地震保險基金102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4002"
"102/05/28","財團法人保險安定基金102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4003"
"102/05/28","財團法人證券投資人及期貨交易人保護中心102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4005"
"102/05/28","財團法人保險事業發展中心102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4006"
"102/05/28","財團法人金融消費評議中心102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4007"
"102/05/28","偵查不公開作業辦法（備註：決議：「偵查不公開作業辦法，函請司法院、行政院依審查會意見，於兩個月內更正後，再函送本院備查。」）","其他","第８屆第３會期（2013-02-26~2013-05-31）","第14次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=4123"
"102/05/21","修正證券交易法第十四條之一條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/01542/01542102052100.htm","http://glin.ly.gov.tw/file/legal/tw0506201302.pdf",""
"102/05/21","增訂大眾捷運法第三十二條之二條文；刪除第三十二條之一及第三十八條之一條文；並修正第三條、第十一條至第十三條、第十五條、第十九條、第二十四條、第二十四條之一、第二十五條、第三十一條、第三十八條、第四十條、第四十四條、第四十七條、第四十九條至第五十條之一、第五十一條之一及第五十二條條文","法律案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","http://lis.ly.gov.tw/lghtml/lawstat/version2/02033/02033102052100.htm","http://glin.ly.gov.tw/file/legal/tw0506201301.pdf",""
"102/05/21","財團法人蒙藏基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3910"
"102/05/21","財團法人臺灣省義勇人員安全濟助基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3911"
"102/05/21","財團法人臺灣省義勇消防人員安全濟助基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3912"
"102/05/21","財團法人消防發展基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3913"
"102/05/21","財團法人海峽交流基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3914"
"102/05/21","財團法人原住民族文化事業基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3915"
"102/05/21","財團法人惠眾醫療救濟基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3916"
"102/05/21","財團法人賑災基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3917"
"102/05/21","財團法人國土規劃及不動產資訊中心102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3918"
"102/05/21","財團法人中央營建技術顧問研究社102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3919"
"102/05/21","財團法人婦女權益促進發展基金會102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3920"
"102/05/21","財團法人台灣建築中心102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3921"
"102/05/21","財團法人臺灣營建研究院102年度預算書案","預決算案","第８屆第３會期第１次臨時會（2013-06-13~2013-06-27）","第13次會議","","","http://npl.ly.gov.tw/do/www/FileViewer?id=3922"
